window,pretom,pretom_only,n_quantiles,win_start,win_end,scheme,phase,gid,sharpe,ann_ret,ann_vol,mdd,calmar,n_days
450,"(9, 4)",True,20,2024-01-01,2025-12-31,full,sweep,w450_p9-4_PT_q20,1.4035,0.2882,0.2053,0.1544,1.8669,467
465,"(9, 4)",True,20,2024-01-01,2025-12-31,full,sweep,w465_p9-4_PT_q20,1.3965,0.2874,0.2058,0.1543,1.8619,467
435,"(9, 4)",True,20,2024-01-01,2025-12-31,full,sweep,w435_p9-4_PT_q20,1.3941,0.2863,0.2054,0.1595,1.7949,467
445,"(9, 4)",True,20,2024-01-01,2025-12-31,full,sweep,w445_p9-4_PT_q20,1.3858,0.2842,0.2051,0.1596,1.7805,467
440,"(9, 4)",True,20,2024-01-01,2025-12-31,full,sweep,w440_p9-4_PT_q20,1.3853,0.2842,0.2051,0.1595,1.7818,467
425,"(9, 4)",True,20,2024-01-01,2025-12-31,full,sweep,w425_p9-4_PT_q20,1.3837,0.2826,0.2042,0.1592,1.7755,467
410,"(9, 4)",True,20,2024-01-01,2025-12-31,full,sweep,w410_p9-4_PT_q20,1.3755,0.2807,0.2041,0.1627,1.7251,467
460,"(9, 4)",True,20,2024-01-01,2025-12-31,full,sweep,w460_p9-4_PT_q20,1.3651,0.2806,0.2055,0.1545,1.8157,467
270,"(9, 4)",True,20,2024-01-01,2025-12-31,full,sweep,w270_p9-4_PT_q20,1.365,0.2887,0.2115,0.1571,1.8375,467
405,"(9, 4)",True,20,2024-01-01,2025-12-31,full,sweep,w405_p9-4_PT_q20,1.3639,0.2788,0.2044,0.1627,1.7132,467
430,"(9, 4)",True,20,2024-01-01,2025-12-31,full,sweep,w430_p9-4_PT_q20,1.3627,0.2797,0.2053,0.1594,1.7546,467
455,"(9, 4)",True,20,2024-01-01,2025-12-31,full,sweep,w455_p9-4_PT_q20,1.3553,0.2782,0.2053,0.1542,1.8046,467
195,"(9, 4)",True,20,2024-01-01,2025-12-31,full,sweep,w195_p9-4_PT_q20,1.3552,0.293,0.2162,0.1732,1.6914,467
