window,warmup_days,年化收益,年化波动率,夏普比率,最大回撤,卡玛比率,单边换手率(年化)
185,337,0.3731,0.3514,1.0777,0.2902,1.286,4.9053
70,165,0.3751,0.3584,1.0686,0.2989,1.255,7.025
160,300,0.3655,0.3521,1.061,0.2772,1.3186,5.3746
155,292,0.3486,0.3526,1.0246,0.2893,1.2049,5.4543
180,330,0.3437,0.3519,1.0148,0.2832,1.2133,4.8332
165,307,0.3395,0.348,1.0143,0.2765,1.2279,4.9553
190,345,0.3434,0.3534,1.0111,0.2932,1.1709,4.8333
175,322,0.3375,0.3487,1.0084,0.2753,1.226,4.9129
60,150,0.3322,0.3473,1.0002,0.2997,1.1085,7.2666
150,285,0.3366,0.3523,0.9999,0.2829,1.1898,5.3905
145,277,0.3312,0.3498,0.9929,0.2875,1.1521,5.3624
230,405,0.3344,0.3532,0.9925,0.2812,1.1893,4.7406
65,157,0.3276,0.3501,0.9851,0.3069,1.0675,7.0111
140,270,0.3259,0.3497,0.9813,0.28,1.164,5.4957
135,262,0.3242,0.3498,0.9774,0.284,1.1416,5.6008
50,135,0.323,0.3514,0.9722,0.2879,1.1218,7.5295
225,397,0.3183,0.3522,0.9599,0.2931,1.0862,4.5292
170,315,0.3153,0.3492,0.9595,0.2823,1.1169,4.8754
130,255,0.3162,0.3507,0.9585,0.2869,1.1021,5.8226
240,420,0.3149,0.3506,0.9553,0.2849,1.1053,4.6744
235,412,0.3146,0.3508,0.9544,0.2827,1.113,4.6849
80,180,0.3163,0.3547,0.9529,0.2985,1.0596,6.6566
245,427,0.3106,0.3491,0.9485,0.268,1.1588,4.6564
360,600,0.309,0.3486,0.9461,0.2678,1.1537,3.9343
105,217,0.3105,0.3512,0.9459,0.3058,1.0152,6.4159
95,202,0.3091,0.3512,0.9427,0.3004,1.0291,6.3536
250,435,0.3087,0.3512,0.9407,0.273,1.1308,4.5136
195,352,0.3095,0.3539,0.9379,0.3114,0.9941,4.8752
110,225,0.303,0.3495,0.9324,0.2924,1.0361,6.1621
55,142,0.2983,0.3464,0.927,0.2819,1.0581,7.2157
370,615,0.301,0.3503,0.9255,0.2737,1.0999,3.9273
365,607,0.2994,0.3492,0.9239,0.2745,1.0908,3.9194
345,577,0.3013,0.352,0.9235,0.2793,1.0787,3.7915
100,210,0.3007,0.3521,0.923,0.3028,0.9933,6.2835
220,390,0.3006,0.3524,0.921,0.3089,0.9731,4.5384
255,442,0.2987,0.3531,0.9159,0.2795,1.0687,4.569
45,127,0.2988,0.3541,0.9147,0.285,1.0486,7.6228
75,172,0.2957,0.3518,0.9128,0.2906,1.0175,6.8592
215,382,0.2958,0.3517,0.9117,0.3044,0.9716,4.6608
115,232,0.2924,0.349,0.9098,0.2927,0.9989,6.0314
120,240,0.2911,0.3499,0.9055,0.2962,0.9829,5.8664
40,120,0.2974,0.3592,0.9037,0.2973,1.0005,7.6878
125,247,0.2892,0.3486,0.9033,0.2926,0.9886,5.8041
340,570,0.2917,0.3532,0.9003,0.2805,1.0402,3.643
355,592,0.2894,0.3517,0.8976,0.2735,1.0579,3.8301
350,585,0.2876,0.352,0.8933,0.2832,1.0157,3.8209
85,187,0.2851,0.3507,0.8911,0.3034,0.9398,6.5543
200,360,0.2836,0.3525,0.8835,0.3115,0.9104,4.7554
380,630,0.2833,0.3522,0.8833,0.2779,1.0194,3.8987
90,195,0.2819,0.352,0.8817,0.3084,0.9141,6.7425
205,367,0.2832,0.3531,0.8816,0.3044,0.9304,4.5925
315,532,0.2778,0.3477,0.878,0.288,0.9646,3.6953
375,622,0.2784,0.3509,0.8744,0.281,0.9906,3.7503
300,510,0.2783,0.3542,0.8692,0.2917,0.9541,3.7794
305,517,0.2757,0.352,0.8667,0.292,0.9443,3.8167
310,525,0.2715,0.3473,0.8645,0.295,0.9205,3.7872
390,645,0.2765,0.3581,0.8597,0.2722,1.0157,3.523
275,472,0.2763,0.3591,0.8576,0.2885,0.9577,4.2165
320,540,0.2689,0.3488,0.8561,0.2876,0.9351,3.5646
280,480,0.275,0.3594,0.8546,0.293,0.9387,4.0284
295,502,0.2699,0.3548,0.8498,0.2896,0.9321,3.8691
290,495,0.2721,0.3583,0.8495,0.2885,0.9431,3.9967
35,112,0.2701,0.356,0.8491,0.2913,0.9272,7.7598
210,375,0.2667,0.3517,0.847,0.3086,0.8642,4.4751
285,487,0.2698,0.3591,0.8435,0.295,0.9148,3.9566
335,562,0.2652,0.3524,0.8426,0.2862,0.9267,3.6075
25,97,0.2607,0.3456,0.8423,0.2425,1.0753,6.9974
395,652,0.2668,0.3579,0.8388,0.2718,0.9819,3.7423
325,547,0.2599,0.3502,0.8336,0.2808,0.9254,3.7214
385,637,0.2599,0.353,0.8301,0.2752,0.9442,3.6523
265,457,0.2573,0.3551,0.8211,0.2895,0.8886,4.3039
330,555,0.2562,0.3533,0.821,0.2814,0.9103,3.6622
270,465,0.2569,0.3569,0.8181,0.2997,0.8573,4.2576
260,450,0.2533,0.3538,0.8138,0.2954,0.8575,4.3915
30,105,0.2427,0.3441,0.8037,0.2715,0.8937,7.9239
400,660,0.2394,0.3581,0.7773,0.2784,0.8601,3.5947
20,90,0.2228,0.3466,0.7526,0.2512,0.8872,6.6069
405,667,0.2233,0.3565,0.7425,0.279,0.8005,3.3927
