信号日,股票代码,因子值,分组,目标仓位,是否触发,滚动均值,滚动标准差,历史阈值
1999-12-30,300750.SZ,,0,-0.0,False,,,
2000-01-04,300750.SZ,,0,-0.0,False,,,
2000-01-05,300750.SZ,,0,-0.0,False,,,
2000-01-06,300750.SZ,,0,-0.0,False,,,
2000-01-07,300750.SZ,,0,-0.0,False,,,
2000-01-10,300750.SZ,,0,-0.0,False,,,
2000-01-11,300750.SZ,,0,-0.0,False,,,
2000-01-12,300750.SZ,,0,-0.0,False,,,
2000-01-13,300750.SZ,,0,-0.0,False,,,
2000-01-14,300750.SZ,,0,-0.0,False,,,
2000-01-17,300750.SZ,,0,-0.0,False,,,
2000-01-18,300750.SZ,,0,-0.0,False,,,
2000-01-19,300750.SZ,,0,-0.0,False,,,
2000-01-20,300750.SZ,,0,-0.0,False,,,
2000-01-21,300750.SZ,,0,-0.0,False,,,
2000-01-24,300750.SZ,,0,-0.0,False,,,
2000-01-25,300750.SZ,,0,-0.0,False,,,
2000-01-26,300750.SZ,,0,-0.0,False,,,
2000-01-27,300750.SZ,,0,-0.0,False,,,
2000-01-28,300750.SZ,,0,-0.0,False,,,
2000-02-14,300750.SZ,,0,-0.0,False,,,
2000-02-15,300750.SZ,,0,-0.0,False,,,
2000-02-16,300750.SZ,,0,-0.0,False,,,
2000-02-17,300750.SZ,,0,-0.0,False,,,
2000-02-18,300750.SZ,,0,-0.0,False,,,
2000-02-21,300750.SZ,,0,-0.0,False,,,
2000-02-22,300750.SZ,,0,-0.0,False,,,
2000-02-23,300750.SZ,,0,-0.0,False,,,
2000-02-24,300750.SZ,,0,-0.0,False,,,
2000-02-25,300750.SZ,,0,-0.0,False,,,
2000-02-28,300750.SZ,,0,-0.0,False,,,
2000-02-29,300750.SZ,,0,-0.0,False,,,
2000-03-01,300750.SZ,,0,-0.0,False,,,
2000-03-02,300750.SZ,,0,-0.0,False,,,
2000-03-03,300750.SZ,,0,-0.0,False,,,
2000-03-06,300750.SZ,,0,-0.0,False,,,
2000-03-07,300750.SZ,,0,-0.0,False,,,
2000-03-08,300750.SZ,,0,-0.0,False,,,
2000-03-09,300750.SZ,,0,-0.0,False,,,
2000-03-10,300750.SZ,,0,-0.0,False,,,
2000-03-13,300750.SZ,,0,-0.0,False,,,
2000-03-14,300750.SZ,,0,-0.0,False,,,
2000-03-15,300750.SZ,,0,-0.0,False,,,
2000-03-16,300750.SZ,,0,-0.0,False,,,
2000-03-17,300750.SZ,,0,-0.0,False,,,
2000-03-20,300750.SZ,,0,-0.0,False,,,
2000-03-21,300750.SZ,,0,-0.0,False,,,
2000-03-22,300750.SZ,,0,-0.0,False,,,
2000-03-23,300750.SZ,,0,-0.0,False,,,
2000-03-24,300750.SZ,,0,-0.0,False,,,
2000-03-27,300750.SZ,,0,-0.0,False,,,
2000-03-28,300750.SZ,,0,-0.0,False,,,
2000-03-29,300750.SZ,,0,-0.0,False,,,
2000-03-30,300750.SZ,,0,-0.0,False,,,
2000-03-31,300750.SZ,,0,-0.0,False,,,
2000-04-03,300750.SZ,,0,-0.0,False,,,
2000-04-04,300750.SZ,,0,-0.0,False,,,
2000-04-05,300750.SZ,,0,-0.0,False,,,
2000-04-06,300750.SZ,,0,-0.0,False,,,
2000-04-07,300750.SZ,,0,-0.0,False,,,
2000-04-10,300750.SZ,,0,-0.0,False,,,
2000-04-11,300750.SZ,,0,-0.0,False,,,
2000-04-12,300750.SZ,,0,-0.0,False,,,
2000-04-13,300750.SZ,,0,-0.0,False,,,
2000-04-14,300750.SZ,,0,-0.0,False,,,
2000-04-17,300750.SZ,,0,-0.0,False,,,
2000-04-18,300750.SZ,,0,-0.0,False,,,
2000-04-19,300750.SZ,,0,-0.0,False,,,
2000-04-20,300750.SZ,,0,-0.0,False,,,
2000-04-21,300750.SZ,,0,-0.0,False,,,
2000-04-24,300750.SZ,,0,-0.0,False,,,
2000-04-25,300750.SZ,,0,-0.0,False,,,
2000-04-26,300750.SZ,,0,-0.0,False,,,
2000-04-27,300750.SZ,,0,-0.0,False,,,
2000-04-28,300750.SZ,,0,-0.0,False,,,
2000-05-08,300750.SZ,,0,-0.0,False,,,
2000-05-09,300750.SZ,,0,-0.0,False,,,
2000-05-10,300750.SZ,,0,-0.0,False,,,
2000-05-11,300750.SZ,,0,-0.0,False,,,
2000-05-12,300750.SZ,,0,-0.0,False,,,
2000-05-15,300750.SZ,,0,-0.0,False,,,
2000-05-16,300750.SZ,,0,-0.0,False,,,
2000-05-17,300750.SZ,,0,-0.0,False,,,
2000-05-18,300750.SZ,,0,-0.0,False,,,
2000-05-19,300750.SZ,,0,-0.0,False,,,
2000-05-22,300750.SZ,,0,-0.0,False,,,
2000-05-23,300750.SZ,,0,-0.0,False,,,
2000-05-24,300750.SZ,,0,-0.0,False,,,
2000-05-25,300750.SZ,,0,-0.0,False,,,
2000-05-26,300750.SZ,,0,-0.0,False,,,
2000-05-29,300750.SZ,,0,-0.0,False,,,
2000-05-30,300750.SZ,,0,-0.0,False,,,
2000-05-31,300750.SZ,,0,-0.0,False,,,
2000-06-01,300750.SZ,,0,-0.0,False,,,
2000-06-02,300750.SZ,,0,-0.0,False,,,
2000-06-05,300750.SZ,,0,-0.0,False,,,
2000-06-06,300750.SZ,,0,-0.0,False,,,
2000-06-07,300750.SZ,,0,-0.0,False,,,
2000-06-08,300750.SZ,,0,-0.0,False,,,
2000-06-09,300750.SZ,,0,-0.0,False,,,
2000-06-12,300750.SZ,,0,-0.0,False,,,
2000-06-13,300750.SZ,,0,-0.0,False,,,
2000-06-14,300750.SZ,,0,-0.0,False,,,
2000-06-15,300750.SZ,,0,-0.0,False,,,
2000-06-16,300750.SZ,,0,-0.0,False,,,
2000-06-19,300750.SZ,,0,-0.0,False,,,
2000-06-20,300750.SZ,,0,-0.0,False,,,
2000-06-21,300750.SZ,,0,-0.0,False,,,
2000-06-22,300750.SZ,,0,-0.0,False,,,
2000-06-23,300750.SZ,,0,-0.0,False,,,
2000-06-26,300750.SZ,,0,-0.0,False,,,
2000-06-27,300750.SZ,,0,-0.0,False,,,
2000-06-28,300750.SZ,,0,-0.0,False,,,
2000-06-29,300750.SZ,,0,-0.0,False,,,
2000-06-30,300750.SZ,,0,-0.0,False,,,
2000-07-03,300750.SZ,,0,-0.0,False,,,
2000-07-04,300750.SZ,,0,-0.0,False,,,
2000-07-05,300750.SZ,,0,-0.0,False,,,
2000-07-06,300750.SZ,,0,-0.0,False,,,
2000-07-07,300750.SZ,,0,-0.0,False,,,
2000-07-10,300750.SZ,,0,-0.0,False,,,
2000-07-11,300750.SZ,,0,-0.0,False,,,
2000-07-12,300750.SZ,,0,-0.0,False,,,
2000-07-13,300750.SZ,,0,-0.0,False,,,
2000-07-14,300750.SZ,,0,-0.0,False,,,
2000-07-17,300750.SZ,,0,-0.0,False,,,
2000-07-18,300750.SZ,,0,-0.0,False,,,
2000-07-19,300750.SZ,,0,-0.0,False,,,
2000-07-20,300750.SZ,,0,-0.0,False,,,
2000-07-21,300750.SZ,,0,-0.0,False,,,
2000-07-24,300750.SZ,,0,-0.0,False,,,
2000-07-25,300750.SZ,,0,-0.0,False,,,
2000-07-26,300750.SZ,,0,-0.0,False,,,
2000-07-27,300750.SZ,,0,-0.0,False,,,
2000-07-28,300750.SZ,,0,-0.0,False,,,
2000-07-31,300750.SZ,,0,-0.0,False,,,
2000-08-01,300750.SZ,,0,-0.0,False,,,
2000-08-02,300750.SZ,,0,-0.0,False,,,
2000-08-03,300750.SZ,,0,-0.0,False,,,
2000-08-04,300750.SZ,,0,-0.0,False,,,
2000-08-07,300750.SZ,,0,-0.0,False,,,
2000-08-08,300750.SZ,,0,-0.0,False,,,
2000-08-09,300750.SZ,,0,-0.0,False,,,
