信号日,股票代码,因子值,分组,目标仓位,是否触发,滚动均值,滚动标准差,历史阈值
2018-06-19,300750.SZ,,0,-0.0,False,,,
2018-06-20,300750.SZ,,0,-0.0,False,,,
2018-06-21,300750.SZ,,0,-0.0,False,,,
2018-06-22,300750.SZ,,0,-0.0,False,,,
2018-06-25,300750.SZ,,0,-0.0,False,,,
2018-06-26,300750.SZ,,0,-0.0,False,,,
2018-06-27,300750.SZ,,0,-0.0,False,,,
2018-06-28,300750.SZ,,0,-0.0,False,,,
2018-06-29,300750.SZ,,0,-0.0,False,,,
2018-07-02,300750.SZ,,0,-0.0,False,,,
2018-07-03,300750.SZ,,0,-0.0,False,,,
2018-07-04,300750.SZ,,0,-0.0,False,,,
2018-07-05,300750.SZ,,0,-0.0,False,,,
2018-07-06,300750.SZ,,0,-0.0,False,,,
2018-07-09,300750.SZ,,0,-0.0,False,,,
2018-07-10,300750.SZ,,0,-0.0,False,,,
2018-07-11,300750.SZ,,0,-0.0,False,,,
2018-07-12,300750.SZ,,0,-0.0,False,,,
2018-07-13,300750.SZ,,0,-0.0,False,,,
2018-07-16,300750.SZ,,0,-0.0,False,,,
2018-07-17,300750.SZ,,0,-0.0,False,,,
2018-07-18,300750.SZ,,0,-0.0,False,,,
2018-07-19,300750.SZ,,0,-0.0,False,,,
2018-07-20,300750.SZ,,0,-0.0,False,,,
2018-07-23,300750.SZ,,0,-0.0,False,,,
2018-07-24,300750.SZ,,0,-0.0,False,,,
2018-07-25,300750.SZ,,0,-0.0,False,,,
2018-07-26,300750.SZ,,0,-0.0,False,,,
2018-07-27,300750.SZ,,0,-0.0,False,,,
2018-07-30,300750.SZ,,0,-0.0,False,,,
2018-07-31,300750.SZ,,0,-0.0,False,,,
2018-08-01,300750.SZ,,0,-0.0,False,,,
2018-08-02,300750.SZ,,0,-0.0,False,,,
2018-08-03,300750.SZ,,0,-0.0,False,,,
2018-08-06,300750.SZ,,0,-0.0,False,,,
2018-08-07,300750.SZ,,0,-0.0,False,,,
2018-08-08,300750.SZ,,0,-0.0,False,,,
2018-08-09,300750.SZ,,0,-0.0,False,,,
2018-08-10,300750.SZ,,0,-0.0,False,,,
2018-08-13,300750.SZ,,0,-0.0,False,,,
