信号日,股票代码,因子值,分组,目标仓位,是否触发,滚动均值,滚动标准差,历史阈值
2019-01-03,300750.SZ,,0,-0.0,False,,,
2019-01-10,300750.SZ,,0,-0.0,False,,,
2019-01-17,300750.SZ,,0,-0.0,False,,,
2019-01-24,300750.SZ,,0,-0.0,False,,,
2019-01-31,300750.SZ,,0,-0.0,False,,,
2019-02-14,300750.SZ,,0,-0.0,False,,,
2019-02-21,300750.SZ,,0,-0.0,False,,,
2019-02-28,300750.SZ,,0,-0.0,False,,,
2019-03-07,300750.SZ,,0,-0.0,False,,,
2019-03-14,300750.SZ,,0,-0.0,False,,,
2019-03-21,300750.SZ,,0,-0.0,False,,,
2019-03-28,300750.SZ,,0,-0.0,False,,,
2019-04-03,300750.SZ,,0,-0.0,False,,,
2019-04-11,300750.SZ,,0,-0.0,False,,,
2019-04-18,300750.SZ,,0,-0.0,False,,,
2019-04-25,300750.SZ,,0,-0.0,False,,,
2019-04-29,300750.SZ,,0,-0.0,False,,,
2019-05-09,300750.SZ,,0,-0.0,False,,,
2019-05-16,300750.SZ,,0,-0.0,False,,,
2019-05-23,300750.SZ,,0,-0.0,False,,,
2019-05-30,300750.SZ,,0,-0.0,False,,,
2019-06-05,300750.SZ,,0,-0.0,False,,,
2019-06-13,300750.SZ,,0,-0.0,False,,,
2019-06-20,300750.SZ,,0,-0.0,False,,,
2019-06-27,300750.SZ,,0,-0.0,False,,,
2019-07-04,300750.SZ,,0,-0.0,False,,,
2019-07-11,300750.SZ,,0,-0.0,False,,,
2019-07-18,300750.SZ,,0,-0.0,False,,,
2019-07-25,300750.SZ,,0,-0.0,False,,,
2019-08-01,300750.SZ,,0,-0.0,False,,,
2019-08-08,300750.SZ,,0,-0.0,False,,,
2019-08-15,300750.SZ,,0,-0.0,False,,,
2019-08-22,300750.SZ,,0,-0.0,False,,,
2019-08-29,300750.SZ,,0,-0.0,False,,,
2019-09-05,300750.SZ,,0,-0.0,False,,,
2019-09-11,300750.SZ,,0,-0.0,False,,,
2019-09-19,300750.SZ,,0,-0.0,False,,,
2019-09-26,300750.SZ,,0,-0.0,False,,,
2019-09-27,300750.SZ,,0,-0.0,False,,,
2019-10-10,300750.SZ,,0,-0.0,False,,,
2019-10-17,300750.SZ,,0,-0.0,False,,,
2019-10-24,300750.SZ,,0,-0.0,False,,,
2019-10-31,300750.SZ,,0,-0.0,False,,,
2019-11-07,300750.SZ,,0,-0.0,False,,,
2019-11-14,300750.SZ,,0,-0.0,False,,,
2019-11-21,300750.SZ,,0,-0.0,False,,,
2019-11-28,300750.SZ,,0,-0.0,False,,,
2019-12-05,300750.SZ,,0,-0.0,False,,,
2019-12-12,300750.SZ,,0,-0.0,False,,,
2019-12-19,300750.SZ,,0,-0.0,False,,,
2019-12-26,300750.SZ,,0,-0.0,False,,,
2020-01-02,300750.SZ,,0,-0.0,False,,,
2020-01-09,300750.SZ,,0,-0.0,False,,,
2020-01-16,300750.SZ,,0,-0.0,False,,,
2020-01-22,300750.SZ,,0,-0.0,False,,,
2020-02-06,300750.SZ,,0,-0.0,False,,,
2020-02-13,300750.SZ,,0,-0.0,False,,,
2020-02-20,300750.SZ,,0,-0.0,False,,,
2020-02-27,300750.SZ,,0,-0.0,False,,,
2020-03-05,300750.SZ,,0,-0.0,False,,,
2020-03-12,300750.SZ,,0,-0.0,False,,,
2020-03-19,300750.SZ,,0,-0.0,False,,,
2020-03-26,300750.SZ,,0,-0.0,False,,,
2020-04-02,300750.SZ,,0,-0.0,False,,,
2020-04-09,300750.SZ,,0,-0.0,False,,,
2020-04-16,300750.SZ,,0,-0.0,False,,,
2020-04-23,300750.SZ,,0,-0.0,False,,,
2020-04-29,300750.SZ,,0,-0.0,False,,,
2020-05-07,300750.SZ,,0,-0.0,False,,,
2020-05-14,300750.SZ,,0,-0.0,False,,,
2020-05-21,300750.SZ,,0,-0.0,False,,,
2020-05-28,300750.SZ,,0,-0.0,False,,,
