信号日,股票代码,因子值,分组,目标仓位,是否触发,滚动均值,滚动标准差,历史阈值
2018-12-28,300750.SZ,,0,-0.0,False,,,
2019-01-02,300750.SZ,,0,-0.0,False,,,
2019-01-03,300750.SZ,,0,-0.0,False,,,
2019-01-04,300750.SZ,,0,-0.0,False,,,
2019-01-07,300750.SZ,,0,-0.0,False,,,
2019-01-08,300750.SZ,,0,-0.0,False,,,
2019-01-09,300750.SZ,,0,-0.0,False,,,
2019-01-10,300750.SZ,,0,-0.0,False,,,
2019-01-11,300750.SZ,,0,-0.0,False,,,
2019-01-14,300750.SZ,,0,-0.0,False,,,
2019-01-15,300750.SZ,,0,-0.0,False,,,
2019-01-16,300750.SZ,,0,-0.0,False,,,
2019-01-17,300750.SZ,,0,-0.0,False,,,
2019-01-18,300750.SZ,,0,-0.0,False,,,
2019-01-21,300750.SZ,,0,-0.0,False,,,
2019-01-22,300750.SZ,,0,-0.0,False,,,
2019-01-23,300750.SZ,,0,-0.0,False,,,
2019-01-24,300750.SZ,,0,-0.0,False,,,
2019-01-25,300750.SZ,,0,-0.0,False,,,
2019-01-28,300750.SZ,,0,-0.0,False,,,
2019-01-29,300750.SZ,,0,-0.0,False,,,
2019-01-30,300750.SZ,,0,-0.0,False,,,
2019-01-31,300750.SZ,,0,-0.0,False,,,
2019-02-01,300750.SZ,,0,-0.0,False,,,
2019-02-11,300750.SZ,,0,-0.0,False,,,
2019-02-12,300750.SZ,,0,-0.0,False,,,
2019-02-13,300750.SZ,,0,-0.0,False,,,
2019-02-14,300750.SZ,,0,-0.0,False,,,
2019-02-15,300750.SZ,,0,-0.0,False,,,
2019-02-18,300750.SZ,,0,-0.0,False,,,
2019-02-19,300750.SZ,,0,-0.0,False,,,
2019-02-20,300750.SZ,,0,-0.0,False,,,
2019-02-21,300750.SZ,,0,-0.0,False,,,
2019-02-22,300750.SZ,,0,-0.0,False,,,
2019-02-25,300750.SZ,,0,-0.0,False,,,
2019-02-26,300750.SZ,,0,-0.0,False,,,
2019-02-27,300750.SZ,,0,-0.0,False,,,
2019-02-28,300750.SZ,,0,-0.0,False,,,
2019-03-01,300750.SZ,,0,-0.0,False,,,
2019-03-04,300750.SZ,,0,-0.0,False,,,
2019-03-05,300750.SZ,,0,-0.0,False,,,
2019-03-06,300750.SZ,,0,-0.0,False,,,
2019-03-07,300750.SZ,,0,-0.0,False,,,
2019-03-08,300750.SZ,,0,-0.0,False,,,
2019-03-11,300750.SZ,,0,-0.0,False,,,
2019-03-12,300750.SZ,,0,-0.0,False,,,
2019-03-13,300750.SZ,,0,-0.0,False,,,
2019-03-14,300750.SZ,,0,-0.0,False,,,
2019-03-15,300750.SZ,,0,-0.0,False,,,
2019-03-18,300750.SZ,,0,-0.0,False,,,
2019-03-19,300750.SZ,,0,-0.0,False,,,
2019-03-20,300750.SZ,,0,-0.0,False,,,
2019-03-21,300750.SZ,,0,-0.0,False,,,
2019-03-22,300750.SZ,,0,-0.0,False,,,
2019-03-25,300750.SZ,,0,-0.0,False,,,
2019-03-26,300750.SZ,,0,-0.0,False,,,
2019-03-27,300750.SZ,,0,-0.0,False,,,
2019-03-28,300750.SZ,,0,-0.0,False,,,
2019-03-29,300750.SZ,,0,-0.0,False,,,
2019-04-01,300750.SZ,,0,-0.0,False,,,
2019-04-02,300750.SZ,,0,-0.0,False,,,
2019-04-03,300750.SZ,,0,-0.0,False,,,
2019-04-04,300750.SZ,,0,-0.0,False,,,
2019-04-08,300750.SZ,,0,-0.0,False,,,
2019-04-09,300750.SZ,,0,-0.0,False,,,
2019-04-10,300750.SZ,,0,-0.0,False,,,
2019-04-11,300750.SZ,,0,-0.0,False,,,
2019-04-12,300750.SZ,,0,-0.0,False,,,
2019-04-15,300750.SZ,,0,-0.0,False,,,
2019-04-16,300750.SZ,,0,-0.0,False,,,
2019-04-17,300750.SZ,,0,-0.0,False,,,
2019-04-18,300750.SZ,,0,-0.0,False,,,
2019-04-19,300750.SZ,,0,-0.0,False,,,
2019-04-22,300750.SZ,,0,-0.0,False,,,
2019-04-23,300750.SZ,,0,-0.0,False,,,
2019-04-24,300750.SZ,,0,-0.0,False,,,
2019-04-25,300750.SZ,,0,-0.0,False,,,
2019-04-26,300750.SZ,,0,-0.0,False,,,
2019-04-29,300750.SZ,,0,-0.0,False,,,
2019-04-30,300750.SZ,,0,-0.0,False,,,
2019-05-06,300750.SZ,,0,-0.0,False,,,
2019-05-07,300750.SZ,,0,-0.0,False,,,
2019-05-08,300750.SZ,,0,-0.0,False,,,
2019-05-09,300750.SZ,,0,-0.0,False,,,
2019-05-10,300750.SZ,,0,-0.0,False,,,
2019-05-13,300750.SZ,,0,-0.0,False,,,
2019-05-14,300750.SZ,,0,-0.0,False,,,
2019-05-15,300750.SZ,,0,-0.0,False,,,
2019-05-16,300750.SZ,,0,-0.0,False,,,
2019-05-17,300750.SZ,,0,-0.0,False,,,
2019-05-20,300750.SZ,,0,-0.0,False,,,
2019-05-21,300750.SZ,,0,-0.0,False,,,
2019-05-22,300750.SZ,,0,-0.0,False,,,
2019-05-23,300750.SZ,,0,-0.0,False,,,
2019-05-24,300750.SZ,,0,-0.0,False,,,
2019-05-27,300750.SZ,,0,-0.0,False,,,
2019-05-28,300750.SZ,,0,-0.0,False,,,
2019-05-29,300750.SZ,,0,-0.0,False,,,
2019-05-30,300750.SZ,,0,-0.0,False,,,
2019-05-31,300750.SZ,,0,-0.0,False,,,
2019-06-03,300750.SZ,,0,-0.0,False,,,
2019-06-04,300750.SZ,,0,-0.0,False,,,
2019-06-05,300750.SZ,,0,-0.0,False,,,
2019-06-06,300750.SZ,,0,-0.0,False,,,
2019-06-10,300750.SZ,,0,-0.0,False,,,
2019-06-11,300750.SZ,,0,-0.0,False,,,
2019-06-12,300750.SZ,,0,-0.0,False,,,
2019-06-13,300750.SZ,,0,-0.0,False,,,
2019-06-14,300750.SZ,,0,-0.0,False,,,
2019-06-17,300750.SZ,,0,-0.0,False,,,
2019-06-18,300750.SZ,,0,-0.0,False,,,
2019-06-19,300750.SZ,,0,-0.0,False,,,
2019-06-20,300750.SZ,,0,-0.0,False,,,
2019-06-21,300750.SZ,,0,-0.0,False,,,
2019-06-24,300750.SZ,,0,-0.0,False,,,
2019-06-25,300750.SZ,,0,-0.0,False,,,
2019-06-26,300750.SZ,,0,-0.0,False,,,
2019-06-27,300750.SZ,,0,-0.0,False,,,
2019-06-28,300750.SZ,,0,-0.0,False,,,
2019-07-01,300750.SZ,,0,-0.0,False,,,
2019-07-02,300750.SZ,,0,-0.0,False,,,
2019-07-03,300750.SZ,,0,-0.0,False,,,
2019-07-04,300750.SZ,,0,-0.0,False,,,
2019-07-05,300750.SZ,,0,-0.0,False,,,
2019-07-08,300750.SZ,,0,-0.0,False,,,
2019-07-09,300750.SZ,,0,-0.0,False,,,
2019-07-10,300750.SZ,,0,-0.0,False,,,
2019-07-11,300750.SZ,,0,-0.0,False,,,
2019-07-12,300750.SZ,,0,-0.0,False,,,
2019-07-15,300750.SZ,,0,-0.0,False,,,
2019-07-16,300750.SZ,,0,-0.0,False,,,
2019-07-17,300750.SZ,,0,-0.0,False,,,
2019-07-18,300750.SZ,,0,-0.0,False,,,
2019-07-19,300750.SZ,,0,-0.0,False,,,
2019-07-22,300750.SZ,,0,-0.0,False,,,
2019-07-23,300750.SZ,,0,-0.0,False,,,
2019-07-24,300750.SZ,,0,-0.0,False,,,
2019-07-25,300750.SZ,,0,-0.0,False,,,
