信号日,股票代码,因子值,分组,目标仓位,是否触发,滚动均值,滚动标准差,历史阈值
2018-06-14,300750.SZ,,0,-0.0,False,,,
2018-06-21,300750.SZ,,0,-0.0,False,,,
2018-06-28,300750.SZ,-1.0,0,-0.0,False,,,
2018-07-05,300750.SZ,,0,-0.0,False,,,
2018-07-12,300750.SZ,-1.0,0,-0.0,False,,,
2018-07-19,300750.SZ,,0,-0.0,False,,,
2018-07-26,300750.SZ,-1.0,0,-0.0,False,,,
2018-08-02,300750.SZ,-0.0089972886307129,0,-0.0,False,,,
2018-08-09,300750.SZ,-0.9994784866682417,0,-0.0,False,,,
2018-08-16,300750.SZ,-0.8808411214953271,0,-0.0,False,,,
2018-08-23,300750.SZ,-0.9596161316917111,0,-0.0,False,,,
2018-08-30,300750.SZ,-0.9968967992866578,0,-0.0,False,,,
2018-09-06,300750.SZ,-0.0358613845646947,0,-0.0,False,,,
2018-09-13,300750.SZ,-0.998450788516299,0,-0.0,False,,,
2018-09-20,300750.SZ,-1.0,0,-0.0,False,,,
2018-09-27,300750.SZ,-0.9937886596239486,0,-0.0,False,,,
2018-10-11,300750.SZ,-1.0,0,-0.0,False,,,
2018-10-18,300750.SZ,-1.0,0,-0.0,False,,,
2018-10-25,300750.SZ,-1.0,0,-0.0,False,,,
2018-11-01,300750.SZ,-0.9858715479200609,0,-0.0,False,,,
2018-11-08,300750.SZ,-0.9877298677323709,0,-0.0,False,,,
2018-11-15,300750.SZ,-0.988505462001959,0,-0.0,False,,,
2018-11-22,300750.SZ,-0.017312388386403352,0,-0.0,False,,,
2018-11-29,300750.SZ,-1.0,0,-0.0,False,,,
2018-12-06,300750.SZ,-0.9969947379648154,0,-0.0,False,,,
2018-12-13,300750.SZ,-0.9969981146557865,0,-0.0,False,,,
2018-12-20,300750.SZ,-0.996203539111315,0,-0.0,False,,,
2018-12-27,300750.SZ,-0.021843947928076195,0,-0.0,False,,,
2019-01-03,300750.SZ,-0.043987337939318326,1,-1.0,True,-0.8377296277766767,0.3399241530712587,-0.497805474705418
2019-01-10,300750.SZ,-0.9992503745316597,0,-0.0,False,-0.8291541846410285,0.34697012035476915,-0.4821840642862594
2019-01-17,300750.SZ,-0.9967111209257299,0,-0.0,False,-0.8269886558145069,0.34648355261922253,-0.48050510319528433
2019-01-24,300750.SZ,-0.921540385948969,0,-0.0,False,-0.8258915934055915,0.3459792399167673,-0.47991235348882416
2019-01-31,300750.SZ,-0.9984996023718267,0,-0.0,False,-0.8575944208225986,0.31236069521218446,-0.5452337256104142
2019-02-14,300750.SZ,-0.9950242149388543,0,-0.0,False,-0.8659128741537832,0.30272080439515253,-0.5631920697586306
2019-02-21,300750.SZ,-0.9910313146488775,0,-0.0,False,-0.8682392589808682,0.3032246608904598,-0.5650145980904084
2019-02-28,300750.SZ,-0.9912498743946728,0,-0.0,False,-0.8762876608979316,0.29318558533677763,-0.583102075561154
2019-03-07,300750.SZ,-0.9979909052000692,0,-0.0,False,-0.8761098990873638,0.29311359751068694,-0.5829963015766768
2019-03-14,300750.SZ,-0.8754250944369234,0,-0.0,False,-0.8850683472003568,0.2826615328031374,-0.6024068143972194
2019-03-21,300750.SZ,-0.7569475122907876,0,-0.0,False,-0.8846569973937873,0.281666168345469,-0.6029908290483184
2019-03-28,300750.SZ,-0.9253393665158371,0,-0.0,False,-0.8798008772488258,0.2813282070272924,-0.5984726702215335
2019-04-03,300750.SZ,-0.953141618124985,0,-0.0,False,-0.8783367177814155,0.2808690928461538,-0.5974676249352617
2019-04-11,300750.SZ,-0.6561085972850679,0,-0.0,False,-0.8800462133781616,0.270818159974084,-0.6092280534040776
2019-04-18,300750.SZ,-0.9865470852017937,0,-0.0,False,-0.8682921917045585,0.27331855346984896,-0.5949736382347095
2019-04-25,300750.SZ,-0.970554458467805,0,-0.0,False,-0.8677524215507921,0.2730701717418022,-0.5946822498089899
2019-04-29,300750.SZ,-0.9964625644334093,0,-0.0,False,-0.8674439288004812,0.2729335272157749,-0.5945104015847062
2019-05-09,300750.SZ,-0.5615212527964206,1,-1.0,True,-0.8674281866051494,0.2727736747154125,-0.594654511889737
2019-05-16,300750.SZ,-0.9915539117134161,0,-0.0,False,-0.8396743134874048,0.3020161961022425,-0.5376581173851623
2019-05-23,300750.SZ,-0.7558692188806513,0,-0.0,False,-0.8388968580651558,0.30171027494254793,-0.5371865831226079
2019-05-30,300750.SZ,-0.9939981517842648,0,-0.0,False,-0.861419086379824,0.27166880916478336,-0.5897502772150407
2019-06-05,300750.SZ,-0.9209652575945848,0,-0.0,False,-0.8608871584299512,0.2714162170680993,-0.589470941361852
2019-06-13,300750.SZ,-0.9736807623712606,0,-0.0,False,-0.8519492364659192,0.28041973775596757,-0.5715294987099517
2019-06-20,300750.SZ,-0.9976414218644816,0,-0.0,False,-0.8524027208770563,0.28060833983671063,-0.5717943810403456
2019-06-27,300750.SZ,-0.9170372149838885,0,-0.0,False,-0.8467012884836203,0.28954044984095373,-0.5571608386426665
2019-07-04,300750.SZ,-0.9885958329824781,0,-0.0,False,-0.8833949378524334,0.2378852265966555,-0.6455097112557779
2019-07-11,300750.SZ,-0.9997628645067743,0,-0.0,False,-0.8917739792351608,0.2253223145178285,-0.6664516647173323
2019-07-18,300750.SZ,-0.997867803837953,0,-0.0,False,-0.8939355558034621,0.22544127011074633,-0.6684942856927157
2019-07-25,300750.SZ,-0.9594882729211087,0,-0.0,False,-0.8866519505274737,0.23673739238209474,-0.6499145581453789
2019-08-01,300750.SZ,-0.9062427877572309,0,-0.0,False,-0.8865794238542615,0.23666032862397562,-0.6499190952302858
2019-08-08,300750.SZ,-0.5183476047932365,1,-1.0,True,-0.8732067881180907,0.24885229670024336,-0.6243544914178474
2019-08-15,300750.SZ,-0.9960183137437176,0,-0.0,False,-0.8685978358611012,0.25041110125981453,-0.6181867346012866
2019-08-22,300750.SZ,-0.9684814576765498,0,-0.0,False,-0.869094221467705,0.25053227888651525,-0.6185619425811897
2019-08-29,300750.SZ,-0.3623214055778606,1,-1.0,True,-0.8659124086822005,0.2501632065708818,-0.6157492021113187
2019-09-05,300750.SZ,-0.3036894702974069,1,-1.0,True,-0.8334322090671908,0.2842938870505854,-0.5491383220166055
2019-09-11,300750.SZ,-0.9907353615860053,0,-0.0,False,-0.8280837352724719,0.288712310452174,-0.5393714248202979
2019-09-19,300750.SZ,-0.997675749736196,0,-0.0,False,-0.8329032780363945,0.28987189368115496,-0.5430313843552396
2019-09-26,300750.SZ,-0.41363922445656265,1,-1.0,True,-0.817923921721112,0.29832801793717983,-0.5195959037839322
2019-09-27,300750.SZ,-0.3449521610011759,1,-1.0,True,-0.8134280684405417,0.30033160826004707,-0.5130964601804946
2019-10-10,300750.SZ,-0.011045936853593816,1,-1.0,True,-0.7892385432816684,0.3279424141090055,-0.46129612917266294
2019-10-17,300750.SZ,-0.9518828451882845,0,-0.0,False,-0.7905272171794038,0.3350513984053083,-0.4554758187740955
2019-10-24,300750.SZ,-0.991046081031303,0,-0.0,False,-0.7895126446986759,0.3345493135473847,-0.4549633311512912
2019-10-31,300750.SZ,-0.6986819510945994,0,-0.0,False,-0.7892407239573858,0.33439310765735536,-0.4548476163000304
2019-11-07,300750.SZ,-0.9983758698362662,0,-0.0,False,-0.7988166047936649,0.32644751329200444,-0.47236909150166045
2019-11-14,300750.SZ,-0.9935394407456754,0,-0.0,False,-0.8073596667729575,0.32087424904660744,-0.48648541772635
2019-11-21,300750.SZ,-0.9812889812889813,0,-0.0,False,-0.823219291302431,0.3083435167942274,-0.5148757745082035
2019-11-28,300750.SZ,-0.9965229406789995,0,-0.0,False,-0.8232440571170712,0.30835459429718787,-0.5148894628198832
2019-12-05,300750.SZ,-0.9972144499595352,0,-0.0,False,-0.8324247352174177,0.3011748357708594,-0.5312498994465582
2019-12-12,300750.SZ,-0.9988396275451106,0,-0.0,False,-0.8328530541397485,0.3013949890358646,-0.5314580651038839
2019-12-19,300750.SZ,-0.9660098767227382,0,-0.0,False,-0.8399533566903724,0.29309885781235623,-0.5468544988780162
2019-12-26,300750.SZ,-0.9979591780010785,0,-0.0,False,-0.843722640261125,0.29389257435285004,-0.5498300659082749
2020-01-02,300750.SZ,-0.9968304261565771,0,-0.0,False,-0.8438935871108943,0.2939799265610472,-0.5499136605498471
2020-01-09,300750.SZ,-0.9767825663457546,0,-0.0,False,-0.8436376587856782,0.2938486202719872,-0.549789038513691
2020-01-16,300750.SZ,-0.9918199836506502,0,-0.0,False,-0.8511123288332346,0.2860092827164279,-0.5651030461168067
2020-01-22,300750.SZ,-0.9968304261565771,0,-0.0,False,-0.851768289179972,0.2862968849829396,-0.5654714041970325
2020-02-06,300750.SZ,-1.0,0,-0.0,False,-0.8531626953645344,0.2868581012609747,-0.5663045941035596
2020-02-13,300750.SZ,-0.999548430183002,0,-0.0,False,-0.8700747235592274,0.27560617640536833,-0.5944685471538591
2020-02-20,300750.SZ,-0.9574036511156186,0,-0.0,False,-0.8591071841206207,0.28520432578688315,-0.5739028583337376
2020-02-27,300750.SZ,-0.9770052561909048,0,-0.0,False,-0.8589593925194111,0.2851431527892751,-0.5738162397301361
2020-03-05,300750.SZ,-0.9881933321508324,0,-0.0,False,-0.8577281203239907,0.28761372123071066,-0.57011439909328
2020-03-12,300750.SZ,-0.08895387021936892,1,-1.0,True,-0.887014640683238,0.2573526509288656,-0.6296619897543724
2020-03-19,300750.SZ,-0.5026743053528189,1,-1.0,True,-0.8490028335404616,0.30297214664088545,-0.5460306868995761
2020-03-26,300750.SZ,-0.9997721056640204,0,-0.0,False,-0.8295615770019373,0.32236649721949145,-0.5071950797824458
2020-04-02,300750.SZ,-0.9986389888077544,0,-0.0,False,-0.8577414693522045,0.30370997800181115,-0.5540314913503934
2020-04-09,300750.SZ,-0.9818757165770209,0,-0.0,False,-0.8838653894495837,0.2720367204221847,-0.6118286690273991
2020-04-16,300750.SZ,-0.9993192645956167,0,-0.0,False,-0.8840814400311812,0.2721155537630694,-0.6119658862681118
2020-04-23,300750.SZ,-0.9968304261565771,0,-0.0,False,-0.8850726830708405,0.27240630665278875,-0.6126663764180518
2020-04-29,300750.SZ,-0.9959015933568186,0,-0.0,False,-0.8881443038070731,0.2722462598566551,-0.615898043950418
2020-05-07,300750.SZ,-0.9935991794232772,0,-0.0,False,-0.8973082175660277,0.26072169584121385,-0.6365865217248139
2020-05-14,300750.SZ,-0.08680459743729,1,-1.0,True,-0.8971030108311907,0.26064382429650396,-0.6364591865346867
